,nom,soustitre,classe,Utilisation,dosage,avertissement
121,Cabometyx,cabozantinib,Multikinase inhibitors,"['Cabometyx is a kinase inhibitor, a type of enzyme inhibitor that blocks the action of certain protein kinases.', 'Cabometyx is used to treat advanced kidney cancer, sometimes in combination with another medicine called nivolumab.', 'Cabometyx is used to treat liver cancer (hepatocellular carcinoma) in people who have been previously treated with sorafenib.', 'Cabometyx is also used to treat a type of thyroid cancer called differentiated thyroid cancer (DTC) that has spread, and has progressed after treatment with a VEGFR-targeted treatment, and can no longer be treated with, or you are not able to receive radioactive iodine.']","['Usual Adult Dose for Renal Cell Carcinoma:', 'Tablets:\n-As a single agent: 60 mg orally once a day until patient no longer experiences clinical benefit or unacceptable toxicity occurs\n-In combination with nivolumab: 40 mg once a day until disease progression or unacceptable toxicity\n\nComment: When administering this drug in combination with nivolumab, refer to the nivolumab prescribing information.\n\nUses:\n-For patients with advanced renal cell carcinoma (RCC)\n-In combination with nivolumab, indicated for the first-line treatment of patients with advanced RCC', 'Usual Adult Dose for Hepatocellular Carcinoma:', 'Tablets: 60 mg orally once a day until patient no longer experiences clinical benefit or unacceptable toxicity occurs\n\nUse: For patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib', 'Usual Adult Dose and Pediatric Dose for Differentiated Thyroid Cancer', '-As as a single agent for adult and pediatric patients 12 years of age and older with BSA greater than or equal to 1.2 m2 is 60 mg once daily until disease progression or unacceptable toxicity', '-As as a single agent in pediatric patients 12 years of age and older with BSA less than 1.2 m2 is 40 mg once daily until disease progression or unacceptable toxicity.', 'Use: locally advanced or metastatic differentiated thyroid cancer (DTC) that has progressed following prior VEGFR-targeted therapy and who are radioactive iodine-refractory or ineligible', 'Take the medicine as soon as you can, but skip the missed dose if your next dose is due in less than 12 hours. Do not use two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Cabometyx may cause a perforation (a hole or tear) or a fistula (an abnormal passageway) within your stomach or intestines. This medicine can also increase your risk of serious bleeding.', 'Call your doctor if you have: severe stomach pain, choking or gagging when you eat or drink, unusual bleeding, bloody or tarry stools, heavy menstrual bleeding, or if you cough up blood.']"
122,Calcitriol,Calcijex,Rocaltrol,"['Calcitriol is a form of vitamin D3. Vitamin D helps your body absorb calcium from the stomach.', 'Calcitriol is used to treat hyperparathyroidism (overactive parathyroid glands) and metabolic bone disease in people who have chronic kidney failure and are not receiving dialysis.', 'Calcitriol is also used to treat calcium deficiency in people with hypoparathyroidism (underactive parathyroid glands) caused by surgery, disease, or other conditions.', 'Calcitriol is also used to treat calcium deficiency (hypocalcemia) and metabolic bone disease in people who are receiving dialysis.', 'Calcitriol may also be used for purposes not listed in this medication guide.']","['Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Calcitriol oral is taken by mouth.', 'Measure oral liquid carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'Calcitriol injection is given as an infusion into a vein. A healthcare provider will give your first dose and may teach you how to properly use the medication by yourself.', 'Read and carefully follow any Instructions for Use provided with your medicine. Prepare an injection only when you are ready to give it. Do not use if the medicine has changed colors or has particles in it. Call your pharmacist for new medicine.', 'You will need frequent medical tests.', 'Drink plenty of fluids unless your doctor has told you to restrict your fluid intake.', 'You may need to follow a special diet while using calcitriol. Follow all instructions of your doctor or dietitian. Learn about the foods to eat or avoid to help control your condition.', 'Call your doctor if you are sick with vomiting or diarrhea, or if you are sweating more than usual. You can easily become dehydrated while taking calcitriol. This can lead to very low blood pressure, a serious electrolyte imbalance, or kidney failure.', ""If you need major surgery or will be on long-term bed rest, your dose or testing needs may change. Follow your doctor's instructions."", 'Store at room temperature away from moisture, heat, and light.', 'Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Early signs of overdose may include headache, weakness, drowsiness, dry mouth, metallic taste, nausea, vomiting, constipation, stomach pain, loss of appetite, muscle pain, or bone pain.', 'Late signs of overdose may include increased thirst, itching, increased urination (especially at night), severe stomach pain spreading to your back, irregular heartbeats, loss of appetite, weight loss, feeling hot, decreased interest in sex, or being unable to urinate.']","['You should not use  calcitriol if you have high levels of calcium or vitamin D in your blood, or if you have ever had an allergic reaction to calcitriol or other forms of vitamin D.']"
123,Calcium carbonate,Calci-Chew,... show all 65 brands,"['Calcium is a mineral that is found naturally in foods. Calcium is necessary for many normal functions of the body, especially bone formation and maintenance.', 'Calcium carbonate is used to prevent or to treat a calcium deficiency.', 'There are many brands and forms of calcium carbonate available. Not all brands are listed on this leaflet.', 'Calcium carbonate may also be used for purposes not listed in this medication guide.']","['Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.', 'Check the label of your calcium carbonate product to see if it should be taken with or without food.', 'Swallow the calcium carbonate regular tablet with a full glass of water.', 'The chewable tablet should be chewed before you swallow it.', 'Shake the oral suspension (liquid) well just before you measure a dose. Measure liquid medicine with the dosing syringe provided, or with a special dose-measuring spoon or medicine cup. If you do not have a dose-measuring device, ask your pharmacist for one.', 'Use the calcium carbonate powder as directed. Allow the powder to dissolve completely, then consume the mixture.', 'Calcium carbonate may be only part of a complete program of treatment that also includes dietary changes. Learn about the foods that contain calcium.', ""Your calcium carbonate dose may need to be adjusted as you make changes to your diet. Follow your doctor's instructions very closely."", 'Store at room temperature away from moisture and heat. Do not freeze.', 'Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.']"
124,Calquence,acalabrutinib,BTK inhibitors,"['Calquence (acalabrutinib) belongs to a class of medications called kinase inhibitors. Alabrutinib works by blocking the action of the abnormal protein that signals cancer cells to multiply. This helps stop the spread of cancer cells.', 'Calquence is used to treat people with mantle cell lymphoma (MCL; a fast-growing cancer that begins in the cells of the immune system) who have already been treated with at least one other chemotherapy medication.', 'Calquence is also used alone or with obinutuzumab (Gazyva) to treat chronic lymphocytic leukemia (CLL; a type of cancer that begins in the white blood cells) and small lymphocytic lymphoma (SLL: a type of cancer that begins in the white blood cells).']","['Usual Adult Dose of Calquence for Lymphoma:', '100 mg orally every 12 hours\n\nComments:\n-Start treatment at cycle 1 (each cycle is 28 days) when use concomitantly with obinutuzumab.\n-Start obinutuzumab at Cycle 2 for a total of 6 cycles and refer to the obinutuzumab prescribing information for recommended dosing. Administer Calquence prior to obinutuzumab when given on the same day.\n-Treatment should be continued until disease progression or unacceptable toxicity.\n\nUse:\n-As monotherapy for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy\n-As monotherapy or in combination with obinutuzumab for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)', 'Take the medicine as soon as you can, but skip the missed dose if you are more than 3 hours late for the dose. Do not use two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Calquence can make it easier for you to bleed. Contact your doctor or seek emergency medical attention if you have any bleeding that will not stop.', 'Call your doctor at once if you have signs of bleeding inside your body, such as: dizziness, weakness, confusion, headache, speech problems, black or bloody stools, pink or brown urine, or coughing up blood or vomit that looks like coffee grounds.']"
125,Canasa,mesalamine,5-aminosalicylates,"['Canasa (mesalamine) is a suppository used to treat a type of inflammatory bowel disease called ulcerative proctitis. Ulcerative proctitis causes inflammation, redness and ulcers to develop in the lining of the rectum, which is at the end of your large intestine. Ulcerative proctitis may also affect nearby parts of the colon.', 'Canasa contains the medication mesalamine, which is also known as mesalazine or 5-aminosalicylic acid (5-ASA). It is contained inside a base of hard fat. Canasa is used topically and is inserted into the rectum. As the warmth of your body melts the hard fat base, the drug is released into the area where it needs to work.', 'Canasa belongs to a class of drugs called aminosalicylates. Canasa is thought to work by reducing inflammation in the epithelial cells that line the colon. Its anti-inflammatory action may result from its ability to block the enzyme cyclooxygenase (COX) and inhibit prostaglandin production in the colon. COX and prostaglandins (a group of lipids) are both involved in generating an inflammatory response.', 'Medications containing mesalamine have been available for many years, however, Canasa was first approved by the US Food and Drug Administration (FDA) in 2001.', 'When Canasa was first approved it was available as a 500 mg strength suppository that needed to be used twice a day. This has been replaced by a 1000 mg strength suppository that only needs to be used at night. Generic versions of Canasa are also available.', 'Canasa is a prescription medicine used to treat adults with active ulcerative proctitis (ulcerative rectal colitis).', 'It is not known if Canasa is safe and effective in children.']",[],['Canasa is for rectal use only. Do not take Canasa by mouth.']
126,Candesartan,Atacand,Angiotensin receptor blockers,"['Candesartan is an angiotensin II receptor blocker (sometimes called an ARB).', 'Candesartan is used to treat high blood pressure (hypertension) in adults and children who are at least 1 year old. Lowering blood pressure may lower your risk of a stroke or heart attack.', 'Candesartan is also used in adults to treat certain types of heart failure and lower your risk of death or needing to be hospitalized for heart damage.', 'Candesartan may also be used for purposes not listed in this medication guide.']",[],"['Do not use if you are pregnant. Stop using candesartan and tell your doctor right away if you become pregnant.', 'If you have diabetes, do not take candesartan with any medication that contains aliskiren (a blood pressure medicine).']"
127,Caplyta,lumateperone,Atypical antipsychotics,"['Caplyta is a once-daily capsule used to treat schizophrenia and bipolar disorder (manic depression) in adults.', 'Caplyta (lumateperone) belongs to a class of medications called atypical antipsychotics. Lumateperone works by changing the activity of certain natural substances in the brain.', 'Caplyta is used to control the symptoms of schizophrenia. Although the physical cause of schizophrenia is unknown, it is believed that imbalances between chemicals, such as dopamine, serotonin, and glutamate, in the brain is the probable cause. The exact way Caplyta works is unknown but it is thought to affect the balance of these brain-signaling chemicals to help control schizophrenia symptoms.', 'Caplyta is also used alone or with the medicine lithium or valproate to treat depressive episodes that happen with bipolar I or bipolar II disorder.']","['Usual Adult Dose for Schizophrenia:', '42 mg orally once a day\n\nComments:\n-Dose titration is not necessary.\n\nUse: Treatment of schizophrenia', 'Usual Adult Dose for Bipolar Depression\n\n42 mg orally once a day', 'Comments:\n-Dose titration is not necessary.', 'Use: Treatment of depressive episodes associated with bipolar I or II disorder (bipolar depression) in adults, as monotherapy and as adjunctive therapy with lithium or valproate', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Caplyta is not approved for use in older adults with dementia-related psychosis. Caplyta can increase the risk of death in elderly people who have lost touch with reality (psychosis) due to confusion and memory loss (dementia).', 'People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide.']"
128,Captopril,Capoten,Angiotensin Converting Enzyme Inhibitors,"['Captopril is used in adults alone or in combination with other medications to treat high blood pressure (hypertension) and congestive heart failure.', 'Captopril is also used to improve survival and reduce the risk of heart failure after a heart attack in patients with a heart condition called left ventricular hypertrophy (enlargement of the walls of the left side of the heart). Captopril is also used to treat kidney disease (nephropathy) caused by diabetes in patients with type 1 diabetes and retinopathy (eye disease).', 'Captopril belongs to a class of medications called angiotensin-converting enzyme (ACE) inhibitors. It decreases certain chemicals that tighten the blood vessels, so blood flows more smoothly and the heart can pump blood more efficiently.']","['Usual Adult Dose for Hypertension:', 'Initial dose: 25 mg orally 2 to 3 times a day one hour before meals\n\nMaintenance dose: May increase every 1 to 2 weeks up to 50 mg orally three times a day. If blood pressure remains uncontrolled after 1 to 2 weeks at this dose, add a thiazide diuretic (loop diuretic if severe renal impairment exists) and titrate to its highest usual antihypertensive dose before further increases of captopril.\n\nMaximum dose: 450 mg/day', 'Usual Adult Dose for Congestive Heart Failure:', 'Initial dose: 25 mg orally three times a day (6.25 to 12.5 mg orally three times a day if hypotensive, hyponatremic, or hypovolemic)\n\nTarget maintenance dose: 50 mg orally three times a day for at least two weeks to ensure a satisfactory response\n\nMaximum dose: 450 mg/day\n\nComments:\n-Most patients experience satisfactory clinical improvement at 50 or 100 mg orally three times a day.\n-Should generally be used in conjunction with a diuretic and digitalis.', 'Usual Adult Dose for Left Ventricular Dysfunction:', 'Initial dose: 6.25 mg orally once as early as three days post-myocardial infarction, followed by 12.5 mg orally three times a day; increase to 25 mg orally three times a day over the next several days, and then increase to target dose over the next several weeks as tolerated.\n\nTarget maintenance dose: 50 mg orally three times a day\n\nUse: To improve survival following myocardial infarction in clinically stable patients with left ventricular dysfunction manifested as an ejection fraction of 40% or less and to reduce the incidence of overt heart failure and subsequent hospitalizations for congestive heart failure in these patients.', 'Usual Adult Dose for Diabetic Nephropathy:', '25 mg orally three times a day\n\nComments: Other antihypertensives may be used in conjunction with this drug if additional blood pressure reduction is required.\n\nUse: Treatment of diabetic nephropathy (proteinuria greater than 500 mg/day) in patients with type I insulin-dependent diabetes mellitus and retinopathy.', 'Usual Adult Dose for Hypertensive Emergency:', '25 mg orally 2 to 3 times a day; continue diuretic therapy and stop other antihypertensives upon initiation of this drug; may increase dose every 24 hours or less until satisfactory blood pressure or maximum dose is reached.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Do not use captopril if you are pregnant. Stop using captopril and tell your doctor right away if you become pregnant.', 'If you have diabetes, do not use captopril together with any medication that contains aliskiren (Amturnide, Tekturna, Tekamlo).', 'Tell your doctor about all your other medicines. Some drugs should not be used with captopril.']"
129,Carbamazepine,Carbatrol,Epitol,"['Carbamazepine is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and nerve pain, such as trigeminal neuralgia and diabetic neuropathy.', 'Carbamazepine is also used to treat bipolar disorder.', 'Carbamazepine may also be used for purposes not listed in this medication guide.']","['Take carbamazepine exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.', 'Take with food.', 'Swallow the extended-release tablet or capsule whole and do not crush, chew, or break it. Tell your doctor if you cannot swallow a pill whole.', 'The chewable tablet must be chewed before you swallow it.', 'Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'It may take up to 4 weeks before your symptoms improve. Keep using the medication as directed and call your doctor promptly if this medicine seems to stop working as well in preventing your seizures.', 'You will need frequent medical tests.', 'Store at room temperature away from moisture, heat, and light.', ""Do not stop using carbamazepine suddenly, even if you feel fine. Stopping suddenly may cause increased seizures. Follow your doctor's instructions about tapering your dose."", 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Overdose symptoms may include severe drowsiness, weak or shallow breathing, and loss of consciousness.']","['You should not take carbamazepine if you have a history of bone marrow suppression, if you are allergic to it, or take an antidepressant such as amitriptyline, desipramine, doxepin, imipramine, or nortriptyline.', 'TELL YOUR DOCTOR ABOUT ALL OTHER MEDICINES YOU USE. Some drugs can raise or lower your blood levels of carbamazepine, which may cause side effects or make this medicine less effective. Carbamazepine can also affect blood levels of certain other drugs, making them less effective or increasing side effects.', 'Carbamazepine may cause serious blood problems or a life-threatening skin rash or allergic reaction. Call your doctor if you have a fever, unusual weakness, bleeding, bruising, or a skin rash that causes blistering and peeling.', 'Some people have thoughts about suicide while taking seizure medicine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.', 'Do not stop taking this medicine without asking your doctor first, even if you feel fine.', ""If you are pregnant, do not start or stop taking carbamazepine without your doctor's advice.""]"
130,Carbidopa and levodopa,Rytary,Sinemet,"[""Carbidopa and levodopa is a combination medicine used to treat symptoms of Parkinson's disease, such as stiffness or tremors."", 'Carbidopa and levodopa is also used to treat Parkinson symptoms caused by carbon monoxide poisoning or manganese intoxication.', 'Carbidopa and levodopa may also be used for purposes not listed in this medication guide.']","['If you already take levodopa, you must stop taking it at least 12 hours before you start taking carbidopa and levodopa.', 'Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Take  carbidopa and levodopa at regular intervals, with or without food.', 'Swallow the capsule whole and do not crush, chew, break, or open it.', 'The tablet is sometimes broken in half to give the correct dose. Always swallow a whole or half tablet without chewing or crushing.', 'Place the orally disintegrating tablet in your mouth and allow it to dissolve, without chewing.', 'It may take up to several weeks before your symptoms improve. Keep using the medication as directed and tell your doctor if your symptoms do not improve. Tell your doctor if the effects of this medicine wear off quickly between doses.', 'If you use this medicine long-term, you may need frequent medical tests.', 'This medicine can affect the results of certain medical tests. Tell any doctor who treats you that you are using carbidopa and levodopa.', 'Do not stop using carbidopa and levodopa suddenly, or you could have unpleasant withdrawal symptoms. Ask your doctor how to safely stop using this medicine.', 'Store at room temperature away from moisture, heat, and light.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Get your prescription refilled before you run out of medicine completely.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Do not use  carbidopa and levodopa if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, or tranylcypromine.']"
131,Carvedilol,Coreg,Coreg CR,"['Carvedilol is a beta-blocker. Beta-blockers affect the heart and circulation (blood flow through arteries and veins).', 'Carvedilol is used to treat heart failure and hypertension (high blood pressure). It is also used after a heart attack that has caused your heart not to pump as well.', 'Carvedilol may also be used for purposes not listed in this medication guide.']","['Take carvedilol exactly as prescribed by your doctor. Follow all directions on your prescription label. Your doctor may occasionally change your dose to make sure you get the best results. Do not take this medicine in larger or smaller amounts or for longer than recommended.', 'Carvedilol works best if you take it with food.', 'You may open the carvedilol capsule and sprinkle the medicine into a spoonful of pudding or applesauce to make swallowing easier. Swallow right away without chewing. Do not save the mixture for later use. Discard the empty capsule.', 'Take carvedilol at the same time every day. Do not skip doses or stop taking carvedilol without first talking to your doctor. Stopping suddenly may make your condition worse.', ""If you are switched from carvedilol tablets to carvedilol extended-release capsules (Coreg CR), your daily total dose of this medicine may be higher or lower than before. Older adults may be more likely to become dizzy or feel faint when switching from tablets to extended-release capsules. Follow your doctor's instructions."", 'Your blood pressure will need to be checked often.', 'If you are being treated for high blood pressure, keep using this medication even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medication for the rest of your life.', 'If you need surgery, tell the surgeon ahead of time that you are using carvedilol. You may need to stop using the medicine for a short time.', 'You should not stop using carvedilol suddenly. Stopping suddenly may make your condition worse.', 'Carvedilol can affect your pupils during cataract surgery. Tell your eye surgeon ahead of time that you are using this medication. Do not stop using carvedilol before surgery unless your surgeon tells you to.', 'Carvedilol is only part of a complete program of treatment for hypertension that may also include diet, exercise, and weight control. Follow your diet, medication, and exercise routines very closely if you are being treated for hypertension.', 'Store at room temperature away from moisture and heat.', 'Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Overdose symptoms may include uneven heartbeats, shortness of breath, bluish-colored fingernails, dizziness, weakness, fainting, and seizure (convulsions).']","['You should not take carvedilol if you have asthma, bronchitis, emphysema, severe liver disease, or a serious heart condition such as heart block, ""sick sinus syndrome,"" or slow heart rate (unless you have a pacemaker).', 'Avoid drinking alcohol within 2 hours before or after taking extended-release carvedilol (Coreg CR). Also avoid taking medicines or other products that might contain alcohol. Alcohol may cause the carvedilol in Coreg CR to be released too quickly into the body.', 'If you are being treated for high blood pressure, keep using carvedilol even if you feel well. High blood pressure often has no symptoms. You may need to use blood pressure medication for the rest of your life.']"
132,Casodex,bicalutamide,Antiandrogens,"['Casodex is an anti-androgen. It works in the body by preventing the actions of androgens (male hormones).', 'Casodex is used to treat prostate cancer that has spread to other parts of the body (metastatic).', 'Casodex is given in combination with another medicine called a luteinizing (LOO-tee-in-ize-ing) hormone-releasing hormone, or LHRH. LHRH helps prevent the testicles from producing testosterone.']","['Usual Adult Dose for Prostate Cancer:', 'In combination with an LHRH analog: 50 mg orally once a day (morning or evening)\n\nComments:\n-Therapy with this drug should be started at the same time as therapy with an LHRH analog.\n-If a dose is missed, take the next dose at the scheduled time. Do not take the missed dose and do not double the next dose.\n\nUse: For use in combination therapy with a luteinizing hormone-releasing hormone (LHRH) analog for the treatment of Stage D2 metastatic carcinoma of the prostate', 'Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time.', 'Call your doctor for instructions if you miss an appointment for your LHRH injection.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Casodex is used to treat prostate cancer. This medicine should never be taken by a woman or a child.', 'Bicalutamide can harm an unborn baby if you father a child while using this medicine. Use effective birth control to prevent pregnancy while using Casodex and for at least 130 days (about 19 weeks) after your last dose.', 'Casodex can harm your liver. Call your doctor at once if you have nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes).']"
133,Cefdinir,Omnicef,Omnicef Omni-Pac,"['Cefdinir is a cephalosporin (SEF a low spor in) antibiotic that is used to treat many different types of infections caused by bacteria.', 'Cefdinir may also be used for purposes not listed in this medication guide.']",[],"['Do not take  cefdinir if you are allergic to cefdinir, or to similar antibiotics, such as Ceftin, Cefzil, Keflex, and others.']"
134,Cefixime,Suprax,Third generation cephalosporins,"['Cefixime is an antibiotic that may be used to treat many different types of infections caused by bacteria.', 'Cefixime stops bacteria from forming a cell wall, which bacteria need to survive. This decreases the number of bacteria in your body, which helps your body fight the infection.', 'Cefixime was FDA approved in 1989.']","['Follow all directions on your cefixime label. Do not take cefixime in larger or smaller amounts or for longer than recommended.', 'You may take cefixime with or without food.', 'The cefixime chewable tablet must be chewed before you swallow it.', 'Shake the oral cefixime suspension (liquid) well just before you measure a dose. Measure liquid medicine with the dosing syringe provided, or with a special dose-measuring spoon or medicine cup. If you do not have a dose-measuring device, ask your pharmacist for one.', 'Cefixime can cause unusual results with certain lab tests for glucose (sugar) in the urine. Tell any doctor who treats you that you are taking this medication.', 'Use cefixime for the full prescribed length of time. Your symptoms may improve before the infection is completely cleared. Skipping doses may also increase your risk of further infection that is resistant to antibiotics. Cefixime will not treat a viral infection such as the common cold or flu.', 'Store cefixime at room temperature away from moisture, heat, and light.', 'You may also store cefixime oral liquid in the refrigerator. Throw away any unused liquid after 14 days.', 'Take the missed dose of cefixime as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['You should not take cefixime if you are allergic to cefixime, or to similar antibiotics, such as Ceftin, Cefzil, Keflex, Omnicef, and others. Tell your doctor if you are allergic to penicillins.']"
135,Ceftriaxone,Third generation cephalosporins,Medically reviewed,"['Ceftriaxone is used to treat bacterial infections in many different parts of the body. This medicine is also given before certain types of surgery to prevent infections. ', 'Ceftriaxone belongs to the class of medicines known as cephalosporin antibiotics. It works by killing bacteria or preventing their growth. However, this medicine will not work for colds, flu, or other virus infections. ', ""This medicine is available only with your doctor's prescription. "", 'In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:', 'Tell your doctor if you have ever had any unusual or allergic reaction to this medicine or any other medicines. Also tell your health care professional if you have any other types of allergies, such as to foods, dyes, preservatives, or animals. For non-prescription products, read the label or package ingredients carefully.', ""Appropriate studies performed to date have not demonstrated pediatric-specific problems that would limit the usefulness of ceftriaxone in children. Because of ceftriaxone's toxicity, use in newborn and premature babies is not recommended. "", 'Appropriate studies performed to date have not demonstrated geriatric-specific problems that would limit the usefulness of ceftriaxone in the elderly. ', 'Studies in women suggest that this medication poses minimal risk to the infant when used during breastfeeding.', 'Although certain medicines should not be used together at all, in other cases two different medicines may be used together even if an interaction might occur. In these cases, your doctor may want to change the dose, or other precautions may be necessary. When you are receiving this medicine, it is especially important that your healthcare professional know if you are taking any of the medicines listed below. The following interactions have been selected on the basis of their potential significance and are not necessarily all-inclusive.', 'Using this medicine with any of the following medicines is not recommended. Your doctor may decide not to treat you with this medication or change some of the other medicines you take.', 'Using this medicine with any of the following medicines is usually not recommended, but may be required in some cases. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines.', 'Using this medicine with any of the following medicines may cause an increased risk of certain side effects, but using both drugs may be the best treatment for you. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines.', 'Certain medicines should not be used at or around the time of eating food or eating certain types of food since interactions may occur.  Using alcohol or tobacco with certain medicines may also cause interactions to occur.  Discuss with your healthcare professional the use of your medicine with food, alcohol, or tobacco.', 'The presence of other medical problems may affect the use of this medicine. Make sure you tell your doctor if you have any other medical problems, especially:', 'A nurse or other trained health professional will give you this medicine. This medicine is given as a shot into one of your muscles or through a needle placed in one of your veins. ']",None,[]
